"scene","idk_1","actual_char","hidden_char","text","text_hira","text_kata"
0,456,"道隆","","「お前の体もすべすべで気持ちいい」","",""
0,456,"汐音","","「お風呂、入ったばかりだから……」","",""
0,456,"道隆","","「それだけじゃないと思うけどな」","",""
0,456,"","","胸から乳首への愛撫に切り替える。","",""
0,456,"","","柔らかい汐音の乳房の中で、ここだけが硬くとがっている。","",""
0,456,"","","指先でつまむようにしながら少し力を入れると、硬い弾力で\n押し返してくる。","指先でつまむようにしながら少し力を入れると、硬い弾力で押し返してくる。","指先でつまむようにしながら少し力を入れると、硬い弾力で押し返してくる。"
0,456,"汐音","","「……ん、ん……あ、……はぁ……ん」","",""
0,456,"","","荒い吐息に声が混じりはじめた。","",""
0,456,"","","普段はブラに包まれている胸を、直に触っているというのも\n興奮する。","普段はブラに包まれている胸を、直に触っているというのも興奮する。","普段はブラに包まれている胸を、直に触っているというのも興奮する。"
0,456,"","","強く揉みしだきたい気持ちがある。\nでもそれを抑えて、汐音の胸を丹念に触っていく。","強く揉みしだきたい気持ちがある。でもそれを抑えて、汐音の胸を丹念に触っていく。","強く揉みしだきたい気持ちがある。でもそれを抑えて、汐音の胸を丹念に触っていく。"
0,456,"","","この前のとは違う、少しずつほぐすように。","",""
0,456,"汐音","","「わたしの胸、そんなに好きなの……？」","",""
0,456,"道隆","","「ああ、触ってて飽きない」","",""
0,456,"汐音","","「……そっかぁ、じゃあ、もっと触っていいよ」","",""
0,456,"道隆","","「わかった」","",""
0,456,"","","胸を丹念に触っていく。\n乳首を摘まみながら手のひらで持ち上げるように撫でる。","胸を丹念に触っていく。乳首を摘まみながら手のひらで持ち上げるように撫でる。","胸を丹念に触っていく。乳首を摘まみながら手のひらで持ち上げるように撫でる。"
0,456,"","","手にずっしりと掛かる重量を感じながら、こぼれおちそうな\n胸を受け止めた。","手にずっしりと掛かる重量を感じながら、こぼれおちそうな胸を受け止めた。","手にずっしりと掛かる重量を感じながら、こぼれおちそうな胸を受け止めた。"
0,456,"","","汐音の体は柔らかい部位だけで出来ている。","",""
0,456,"","","それでいて腹の辺りはすらりとしていて、太ももの方は張りも\nある。","それでいて腹の辺りはすらりとしていて、太ももの方は張りもある。","それでいて腹の辺りはすらりとしていて、太ももの方は張りもある。"
0,456,"","","昔、バレーをやっていたからだろうか。","",""
0,456,"","","今でもしなやかな体躯は維持されているようだった。","",""
0,456,"汐音","","「……ん、んん、……ふぅ、はぁ、はぁ……ん」","",""
0,456,"汐音","","「あ……ん、先っぽ……ダメ、つまんじゃダメ……」","",""
0,456,"","","手による愛撫を続けながら、首筋にキスをした。","",""
0,456,"道隆","","「ちゅ、ぴちゃ……ちゅぱ」","",""
0,456,"汐音","","「……んっ、ああっ。……はぁ、はぁ……」","",""
0,456,"","","太ももの辺りを撫でると体がビクビクと反応してくる。","",""
0,456,"道隆","","（俺が汐音を気持ちよくさせているんだよな……）","",""
0,456,"","","この前の荒々しい一方的な性行為とは違う。","",""
0,456,"","","ゆっくりとほぐすように、汐音の緊張がほぐれるまで少しずつ\n体を触れていきたいと思っていた。","ゆっくりとほぐすように、汐音の緊張がほぐれるまで少しずつ体を触れていきたいと思っていた。","ゆっくりとほぐすように、汐音の緊張がほぐれるまで少しずつ体を触れていきたいと思っていた。"
0,456,"","","汐音の体への愛撫を重ねると、徐々に吐息に甘い色が混じって\nいく。","汐音の体への愛撫を重ねると、徐々に吐息に甘い色が混じっていく。","汐音の体への愛撫を重ねると、徐々に吐息に甘い色が混じっていく。"
0,456,"汐音","","「……はぁ、ぁ……ぁ、ん」","",""
0,456,"汐音","","「もっと、別の所も……。\n胸ばかりだと……」","「もっと、別の所も……。胸ばかりだと……」","「もっと、別の所も……。胸ばかりだと……」"
0,456,"道隆","","「……ああ」","",""
0,456,"","","太ももからお腹の辺りまでを手のひら全体で触っていく。","",""
0,456,"汐音","","「んん、あ……ふぅ……」","",""
0,456,"汐音","","「んっ！！　あああっっ」","",""
0,456,"","","大きな胸を持ち上げるように強くなでると、汐音の体は\nびくんと跳ねた。","大きな胸を持ち上げるように強くなでると、汐音の体はびくんと跳ねた。","大きな胸を持ち上げるように強くなでると、汐音の体はびくんと跳ねた。"
0,456,"汐音","","「ん、んんんっ」","",""
0,456,"汐音","","「あ……はぁ、はぁ……」","",""
0,456,"","","息も絶え絶えになっている汐音の股間に手を伸ばす。","",""
0,456,"","","そこはもうしっとりと濡れて、愛液が糸を引いていた。","",""
0,456,"","","――ちゅく。","",""
0,456,"汐音","","「……ぁ……っっ」","",""
0,456,"","","体がのけぞる。","",""
0,456,"","","汐音の濡れた秘所の当たりを愛撫していく。","",""
0,456,"","","スリットに沿って指を動かし、溢れる愛液を指でかき混ぜる。","",""
0,456,"汐音","","「……ふっ。ああっ。んんっ！」","",""
0,456,"道隆","","「中すごく熱くなってる……」","",""
0,456,"汐音","","「た、タカちゃん、だめ、触られると、感じて……っ」","",""
0,456,"","","そう言っている間にも汐音の体はびくびくと震えている。","",""
0,456,"","","溢れる愛液が増して、二度三度と痙攣をしていた。","",""
0,456,"道隆","","（汐音、感じすぎなような……？）","",""
0,456,"","","元から感度が高い女の子はイキやすいと、雑誌で見た事はある。","",""
0,456,"","","でも、もしかしたら……。","",""
0,456,"道隆","","「……お前、もしかして、この前エッチしたのを、自分で\n思い出したりしてた……？」","「……お前、もしかして、この前エッチしたのを、自分で思い出したりしてた……？」","「……お前、もしかして、この前エッチしたのを、自分で思い出したりしてた……？」"
0,456,"汐音","","「……ん……」","",""
0,456,"","","首を横に振る。","",""
0,456,"道隆","","「本当の所は……？」","",""
0,456,"汐音","","「……う、ん。思い出しちゃって……それで……」","",""
0,456,"","","あの時の出来事を完全に再現してた訳か。","",""
0,456,"","","――ちゅく。","",""
0,456,"","","クリトリスを指で触った。","",""
0,456,"汐音","","「はっ。んんっっ！！」","",""
0,456,"","","愛液の量が増える。\n下着の奥にある硬い部分を撫でると、俺の指の動きにあわせて\n白い体が跳ね上がる。","愛液の量が増える。下着の奥にある硬い部分を撫でると、俺の指の動きにあわせて白い体が跳ね上がる。","愛液の量が増える。下着の奥にある硬い部分を撫でると、俺の指の動きにあわせて白い体が跳ね上がる。"
0,456,"汐音","","「んぁぁっっ！！　あっ！」","",""
0,456,"","","いやいやするように頭を振ってる。","",""
0,456,"","","密着してる汐音の背中の温度だけでも、さらなる興奮へと\n俺を誘う。","密着してる汐音の背中の温度だけでも、さらなる興奮へと俺を誘う。","密着してる汐音の背中の温度だけでも、さらなる興奮へと俺を誘う。"
0,456,"","","とっくにペニスは硬直している。\n汐音の中に入りたい気持ちと、このまま責めたてたい気持ちが\n両方湧きあがってきていた。","とっくにペニスは硬直している。汐音の中に入りたい気持ちと、このまま責めたてたい気持ちが両方湧きあがってきていた。","とっくにペニスは硬直している。汐音の中に入りたい気持ちと、このまま責めたてたい気持ちが両方湧きあがってきていた。"
0,456,"汐音","","「きもち、いいよ……っ。タカちゃん……っ。わたし、んんっ」","",""
0,456,"汐音","","「ああっ！！　んっ、んっ！！　あっ！！　ああっっ！！」","",""
0,456,"","","指をいれると中に埋まる。","",""
0,456,"","","引き抜くたびにじゅぷじゅぷと音を立てていた。","",""
0,456,"道隆","","「そろそろ、……いいか？」","",""
0,456,"汐音","","「……う、ん……わたしも、欲しい……タカちゃんが……」","",""
0,456,"道隆","","「わかった、行くぞ」","",""
0,456,"","","汐音の体を持ち上げる。\n下着を脱がして、そのまま後ろから入れようと腰を合わせた。","汐音の体を持ち上げる。下着を脱がして、そのまま後ろから入れようと腰を合わせた。","汐音の体を持ち上げる。下着を脱がして、そのまま後ろから入れようと腰を合わせた。"
0,456,"汐音","","「あ、でも……ちょっとだけ待って」","",""
0,456,"道隆","","「ん……？　ああ」","",""
0,464,"","","部屋に置かれた布団に向かう。","",""
0,448,"","","枕を抱いて、座った。","",""
0,448,"道隆","","「いくぞ」","",""
0,448,"汐音","","「……ん」","",""
0,448,"","","肩に手をかけて、汐音を寝かせた。","",""
0,456,"","","体を正面から見せるのが恥ずかしいのか、枕を抱いている。","",""
0,456,"","","しかし足が開いていて、体の奥まで見えている。","",""
0,456,"道隆","","「……逆にエロいぞ」","",""
0,456,"汐音","","「そ、そんなこといわないで……」","",""
0,456,"","","濡れた愛液が光っている。","",""
0,456,"","","秘所はひくひくと動いて、俺の物を誘っているようだった。","",""
0,456,"道隆","","「……ごくり」","",""
0,456,"","","思わず唾を飲み込む。","",""
0,456,"","","ここまではっきりと見るのは初めてだ。\n綺麗なピンク色のあそこが俺を誘っている。","ここまではっきりと見るのは初めてだ。綺麗なピンク色のあそこが俺を誘っている。","ここまではっきりと見るのは初めてだ。綺麗なピンク色のあそこが俺を誘っている。"
0,456,"","","この前はこの中に入れて、そして……。","",""
0,456,"","","じっくりと見ている事に気づいたのか、汐音が抗議の声を\nあげた。","じっくりと見ている事に気づいたのか、汐音が抗議の声をあげた。","じっくりと見ている事に気づいたのか、汐音が抗議の声をあげた。"
0,456,"汐音","","「は、はずかしい、から」","",""
0,456,"道隆","","「……ああ」","",""
0,456,"","","汐音のあそこにペニスをあてて、中に挿入した。","",""
0,456,"汐音","","「ああっっ！！」","",""
0,456,"","","汐音の中がうねる。","",""
0,456,"","","俺の物を締めつけてきた。","",""
0,456,"","","溢れる愛液がペニスに絡み、潤滑液となる。","",""
0,456,"","","膣内の受け入れ体勢が出来てるのか、肉襞の抵抗はあっても\n初めての時ほどキツくはなかった。","膣内の受け入れ体勢が出来てるのか、肉襞の抵抗はあっても初めての時ほどキツくはなかった。","膣内の受け入れ体勢が出来てるのか、肉襞の抵抗はあっても初めての時ほどキツくはなかった。"
0,456,"","","――ずちゅ、くちゅ、ぬちゅ。","",""
0,456,"","","汐音の中を何度も突き入れながら、徐々に奥へと入っていく。","",""
0,456,"汐音","","「あんっ、んんっ！　あっっ！！　あっ」","",""
0,456,"","","快感に嬌声をあげる。\n今はまだ大丈夫なようだ。","快感に嬌声をあげる。今はまだ大丈夫なようだ。","快感に嬌声をあげる。今はまだ大丈夫なようだ。"
0,456,"","","少しずつ奥へ進んでいっては、引き抜く。","",""
0,456,"","","溢れる粘液が混ざりあって糸を引いていた。","",""
0,456,"","","――ずちゅっ。","",""
0,456,"","","こつんと先端が肉壁にあたる。","",""
0,456,"","","一番奥に入れると汐音は快感で震えた。\nだが同時に、痛みに顔もしかめてた。","一番奥に入れると汐音は快感で震えた。だが同時に、痛みに顔もしかめてた。","一番奥に入れると汐音は快感で震えた。だが同時に、痛みに顔もしかめてた。"
0,456,"汐音","","「い、た……いた、……んんっ」","",""
0,456,"道隆","","「止めておくか……？」","",""
0,456,"","","痛みと快楽に身を震わせながら、腕に抱いた枕に力を入れた。","",""
0,456,"汐音","","「だ、だいじょうぶ、んんっ」","",""
0,456,"汐音","","「きもちいいのと、いたいのが一緒にきて……。\nなんだか、変なの……」","「きもちいいのと、いたいのが一緒にきて……。なんだか、変なの……」","「きもちいいのと、いたいのが一緒にきて……。なんだか、変なの……」"
0,456,"道隆","","「わかった。じゃあ少しずつ」","",""
0,456,"","","腰を引いて、中に入れる。","",""
0,456,"","","――ちゅく。くちゅっ。ちゅぷっ。","",""
0,456,"","","溢れる愛液をかき混ぜながら、気持ちよくなる所を\n探していく。","溢れる愛液をかき混ぜながら、気持ちよくなる所を探していく。","溢れる愛液をかき混ぜながら、気持ちよくなる所を探していく。"
0,456,"汐音","","「んんっ！　あっ。ああっっ」","",""
0,456,"","","一際大きく反応する場所があった。","",""
0,456,"道隆","","「気持ちいいか？」","",""
0,456,"","","枕に顔をうずめ、こくこくと頷く所に狙いを定めて\n再び挿入を開始する。","枕に顔をうずめ、こくこくと頷く所に狙いを定めて再び挿入を開始する。","枕に顔をうずめ、こくこくと頷く所に狙いを定めて再び挿入を開始する。"
0,456,"汐音","","「んっ！　くっ……んんっっ！！」","",""
0,456,"","","そのまま動きを奥に。\n汐音の一番奥の所目指して、快楽を叩きつけていく。","そのまま動きを奥に。汐音の一番奥の所目指して、快楽を叩きつけていく。","そのまま動きを奥に。汐音の一番奥の所目指して、快楽を叩きつけていく。"
0,456,"汐音","","「タカちゃんのが、わたしの奥……きてる。んんっ。\n一つになってる……っ」","「タカちゃんのが、わたしの奥……きてる。んんっ。一つになってる……っ」","「タカちゃんのが、わたしの奥……きてる。んんっ。一つになってる……っ」"
0,456,"道隆","","「ああ、お前とセックスしてる。\n一つになってるんだ」","「ああ、お前とセックスしてる。一つになってるんだ」","「ああ、お前とセックスしてる。一つになってるんだ」"
0,456,"汐音","","「うれ、しい……嬉しいよぉ……っ」","",""
0,456,"道隆","","「汐音……」","",""
0,456,"","","口づけをして、舌を絡める。","",""
0,456,"汐音","","「んっ、ちゅっ。あっ！　んんっ。ちゅむ……んっ」","",""
0,456,"","","汐音の奥を擦りあげながら、俺自身の快感が高まってくる\nのを感じていた。","汐音の奥を擦りあげながら、俺自身の快感が高まってくるのを感じていた。","汐音の奥を擦りあげながら、俺自身の快感が高まってくるのを感じていた。"
0,456,"汐音","","「むぅ……んんっ。あっ。ああっ！！　あっ」","",""
0,456,"","","幼い頃からよく知ってる女の子の奥にペニスを突きたててる。","",""
0,456,"","","目の前で喘いでいる少女とのギャップが、興奮を掻き立てる。","",""
0,456,"","","豊満な胸が突き入れるたびにダイナミックに揺れていた。","",""
0,456,"","","汐音の唇を求めてキスをした。","",""
0,456,"道隆","","「ちゅ、ちゅぱ……ぴちゃ、ずず」","",""
0,456,"","","舌を吸い、こぼれおちそうな唾液をすすりながら、互いの\n体液を舐め合う。","舌を吸い、こぼれおちそうな唾液をすすりながら、互いの体液を舐め合う。","舌を吸い、こぼれおちそうな唾液をすすりながら、互いの体液を舐め合う。"
0,456,"道隆","","「汐音……ん、ちゅ……んんっ」","",""
0,456,"","","キスをしながら、何度も深く注入を繰り返した。","",""
0,456,"","","奥がきゅうきゅうと締めあげて、俺の物を求めていく。","",""
0,456,"汐音","","「ふわぁっ！！　あっ。あっ！　あああっ」","",""
0,456,"","","何度も繰り返すうちに、汐音の体に変化が現れる。","",""
0,456,"","","きつい肉壁が徐々にほぐれて、完全に俺のペニスを\n受け入れていた。","きつい肉壁が徐々にほぐれて、完全に俺のペニスを受け入れていた。","きつい肉壁が徐々にほぐれて、完全に俺のペニスを受け入れていた。"
0,456,"汐音","","「ああんっ！！　あっ。はぁっ。ああっっ！！」","",""
0,456,"","","先ほどまでの比ではない反応だった。","",""
0,456,"","","汐音の体が快感に震え、何度も絶頂しながら身を震わせる。","",""
0,456,"汐音","","「タカちゃんの、奥……あたってっ」","",""
0,456,"汐音","","「ああっ！　ああんん、んんっ！　あっっ」","",""
0,456,"","","汐音の体が跳ねるたびに、強く締めつけられていく。","",""
0,456,"道隆","","「そろそろ、もう」","",""
0,456,"汐音","","「ん、いいよ、なかに」","",""
0,456,"道隆","","「でも――」","",""
0,456,"汐音","","「……やり直し、だから。\n今は大丈夫だから、おねがい……」","「……やり直し、だから。今は大丈夫だから、おねがい……」","「……やり直し、だから。今は大丈夫だから、おねがい……」"
0,456,"道隆","","「わかった」","",""
0,456,"","","改めてペニスを引きぬく。\n互いの液体が混ざり合って、性器同士の間に銀色の糸と\nなって繋がっていた。","改めてペニスを引きぬく。互いの液体が混ざり合って、性器同士の間に銀色の糸となって繋がっていた。","改めてペニスを引きぬく。互いの液体が混ざり合って、性器同士の間に銀色の糸となって繋がっていた。"
0,456,"","","ひくひくと痙攣する秘穴から散々かきまぜられて濁った愛液が\n溢れだしてくる。","ひくひくと痙攣する秘穴から散々かきまぜられて濁った愛液が溢れだしてくる。","ひくひくと痙攣する秘穴から散々かきまぜられて濁った愛液が溢れだしてくる。"
0,456,"","","改めてペニスを当てると、奥に突き入れた。","",""
0,456,"","","――ずちゅ、ちゅく。ぷちゅっ。ずちゅっ！","",""
0,456,"汐音","","「あんっ、んんっ！！　あっ、ああっっ！！　あっ！」","",""
0,456,"","","汐音の中を全て埋めるように何度も何度も突き入れていく。","",""
0,456,"汐音","","「んっ、ああっ！！　あんっ！」","",""
0,456,"","","初めての体験を塗り潰すように。\n俺自身が、汐音の全てを求めて動いていた。","初めての体験を塗り潰すように。俺自身が、汐音の全てを求めて動いていた。","初めての体験を塗り潰すように。俺自身が、汐音の全てを求めて動いていた。"
0,456,"汐音","","「う、ああん、んん」","",""
0,456,"","","汐音の奥を突く。\n肉襞が俺の物を逃がさないと締めあげてくる。","汐音の奥を突く。肉襞が俺の物を逃がさないと締めあげてくる。","汐音の奥を突く。肉襞が俺の物を逃がさないと締めあげてくる。"
0,456,"","","その度に快楽に体がのけぞっている。\n俺も絶頂を我慢しきれなくなっていた。","その度に快楽に体がのけぞっている。俺も絶頂を我慢しきれなくなっていた。","その度に快楽に体がのけぞっている。俺も絶頂を我慢しきれなくなっていた。"
0,456,"道隆","","「汐音……出るっ」","",""
0,456,"汐音","","「いい、よ。きて、タカちゃん……」","",""
0,456,"","","――じゅぷっ、ずずっ。ずちゅっ！　くちゅっ！","",""
0,456,"","","溢れる愛液が濁った音を立てている。","",""
0,456,"","","汐音はもう何度も達している。\n終わりにしようと、最後に一番奥に突き入れた。","汐音はもう何度も達している。終わりにしようと、最後に一番奥に突き入れた。","汐音はもう何度も達している。終わりにしようと、最後に一番奥に突き入れた。"
0,456,"汐音","","「ああああああぁっっっっ！！！」","",""
0,456,"","","一際大きく、汐音の体が震えた。","",""
0,456,"","","――どく、どくっ、どくっ！！","",""
0,456,"","","一番奥へ繋がったまま、精液を吐きだしていく。","",""
0,456,"汐音","","「はぁ、はぁ……んんっ、あ……ああ……」","",""
0,456,"道隆","","「く……はぁ、はぁっ」","",""
0,456,"","","とっさには動けず、汐音の中に入れたまま、びくびくと\n精液を吐きだし続けていた。","とっさには動けず、汐音の中に入れたまま、びくびくと精液を吐きだし続けていた。","とっさには動けず、汐音の中に入れたまま、びくびくと精液を吐きだし続けていた。"
0,456,"汐音","","「……あ……あぁ。はぁ、はぁ」","",""
0,456,"","","汐音の体の上に崩れ落ちる。","",""
0,456,"","","俺も体力を使い果たして、動けなくなっていた。","",""
0,456,"汐音","","「タカちゃん……ありがとう」","",""
0,456,"汐音","","「……わたし、ずっと忘れないから。今日の事……」","",""
0,456,"道隆","","「俺もだ」","",""
0,456,"汐音","","「……ちゅ」","",""
0,456,"","","繋がったまま、俺たちはキスをした。","",""
